,name,price,link
0,"3 Bedroom House in Sector 4, Gurgaon",₹3.4 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-V80239113
1,"3 Bedroom House in Sector 4, Gurgaon",₹3.2 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-X78681855
2,"3 Bedroom House in New Colony, Gurgaon",₹3.25 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-colony-gurgaon-1350-sq-ft-spid-E80566721
3,"4 Bedroom House in Sector 9, Gurgaon",₹6 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-9-gurgaon-3078-sq-ft-spid-Z79567577
4,"7 Bedroom House in DLF Phase 2, Gurgaon",₹22.5 Cr,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-4500-sq-ft-spid-D79991425
5,"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹3.5 Cr,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-594-sq-ft-spid-B80519491
6,"4 Bedroom House in DLF Phase 2, Gurgaon",₹7.95 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1935-sq-ft-spid-C78720107
7,"2 BHK Flat in Sector 104, Gurgaon",₹30.25 Lac,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-zara-aavaas-sector-104-gurgaon-581-sq-ft-spid-L80981295
8,"3 Bedroom House in New Colony, Gurgaon",₹4 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-colony-gurgaon-1890-sq-ft-r5-spid-I72112354
9,"4 Bedroom House in Sector 4, Gurgaon",₹7.25 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-5850-sq-ft-spid-S79842943
10,"10 Bedroom House in Sector 57, Gurgaon",₹8.5 Cr,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-2367-sq-ft-spid-H80390825
11,"3 Bedroom House in Nirvana Country, Gurgaon",₹10.1 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-unitech-nirvana-birch-court-nirvana-country-gurgaon-2160-sq-ft-spid-V80893337
12,"4 Bedroom House in DLF CITY, Gurgaon",₹12 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-garden-estate-dlf-city-gurgaon-3600-sq-ft-r2-spid-Q77123383
13,"2 Bedroom House in Manesar, Gurgaon",₹1 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-manesar-gurgaon-1620-sq-ft-spid-M80730519
