society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
"  palam vihar, gurgaon",4.26,sector 1,24027.07,house,1773.0,2304.9,1507.05,1773.0,6.0,6.0,"  palam vihar, gurgaon",3.0,north,relatively new property,3,0,0,0,0,0,1,58,886.5
  m3m woodshire,1.7,sector 107,8749.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",7.0,east,relatively new property,,0,0,0,0,0,1,77,647.6666666666666
  central park flower valley aqua front towers,2.5,sector 33,13974.29,flat,1789.0,1789.0,1162.8500000000001,1431.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",5.0,north,relatively new property,,0,0,0,0,1,2,131,596.3333333333334
"  nirvana country, gurgaon",10.4,sector 50,,house,,,,,4.0,4.0,"  nirvana country, gurgaon",,north-east,relatively new property,2,0,1,1,0,0,1,37,
"  vatika signature villas, sector 82, gurgaon",6.7,sector 82,,house,,,,,4.0,4.0,"  vatika signature villas, sector 82, gurgaon",2.0,west,relatively new property,3+,1,1,1,0,1,2,88,
"  sector 46, gurgaon",3.7,sector 46,,house,,,,,3.0,3.0,"  sector 46, gurgaon",1.0,north-west,new property,2,1,1,1,0,1,1,99,
  bptp mansions park prime,3.9,sector 66,14109.99,flat,2764.0,2764.0,1934.8,2349.4,4.0,4.0,"BPTP Mansions Park Prime Sector 66, Gurgaon",6.0,south,relatively new property,,0,1,0,1,0,2,13,691.0
  tata primanti,4.84,sector 72,18980.39,flat,2550.0,2550.0,1657.5,2040.0,3.0,3.0,"Tata Primanti Sector 72, Gurgaon",5.0,north-east,new property,,0,0,0,0,0,1,221,850.0
"  sushant lok phase 1, gurgaon",8.0,sector 43,,house,,,,,5.0,6.0,"  sushant lok phase 1, gurgaon",2.0,north-east,relatively new property,2,1,1,0,0,0,1,199,
"  dlf phase 1, gurgaon",11.0,sector 26,,house,,,,,5.0,7.0,"  dlf phase 1, gurgaon",3.0,north-east,moderatly old property,3,1,1,1,0,1,1,199,
