name,price,links,society,area,propertyType,bedRooms,bathRooms,additionalRooms,address,floorNum,balcony,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId
"3 Bedroom House in Sector 4, Gurgaon",3.2,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-X78681855,"  sector 4, gurgaon",160.0,house,3.0,3.0,study room,"  sector 4, gurgaon",1.0,3,north-east,1 to 5 Year Old,"['Rajiv Chowk Mosque', 'Hanuman Mandir', 'Icici bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Medanta', 'Bansal Medicare and Maternity Centre', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Dayal Eye & Maternity Centre', 'Sukhmani Hospital Pvt. Ltd', 'Samvit Health Care', 'Ahmed Hospital Multi Speciality', 'Shivam Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Aarvy Hospital', 'Smile Plus Dental Clinic', 'Rajendra Hospital', 'Airforce Hospital', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Gardian Pharmacy', 'IBP Petrol Pump', 'Indian Oil', 'IBP Petrol Station', 'Hdfc bank', 'SRS Cinemas', 'KFC', 'Darbar', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Raj Restaurant', 'Cafe Coffee Day', '32nd Milestone', 'CR Model Public School', 'Kendriya Vidyalaya No.2 Sohna Road', 'Manav Rachna School', 'Delhi Public School Primary Section', 'Salvan Public School', 'govt sec school', 'St. Angels Jr', 'McKinsey & Company', 'Manav Rachna Swimming Pool', 'District library gurgaon']","Address:  Sector 4, Gurgaon Discover the perfect family haven with this stunning 3 bhk house for sale in the serene sector 4 of gurgaon. Spanning a generous super built-Up area of 160 sq. Yards, this well-Constructed residence offers an ideal blend of comfort and functionality, featuring three spacious bedrooms, each designed ... to provide a restful retreat. The house includes three modern bathrooms, ensuring convenience for the entire family, and three inviting balconies that allow you to enjoy fresh air and scenic views. With ample parking options, including three covered spaces and two open spots, your vehicles will always have a secure home. This property, which is just 1-5 years old, is ready for immediate possession, making it a hassle-Free choice for those looking to settle down. As a freehold property, it offers you complete ownership and peace of mind. Priced competitively at 3.2 crore, this house is not just a place to live, but a place to create lasting memories with your loved ones.
 Additional details :

Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 1 cars.More >>","['2 Wardrobe', '1 Exhaust Fan', '1 Geyser', '3 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']",X78681855
"3 Bedroom House in New Colony, Gurgaon",3.25,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-colony-gurgaon-1350-sq-ft-spid-E80566721,"  new colony, gurgaon",150.0,house,3.0,3.0,not available,"  new colony, gurgaon",3.0,3,south-west,10+ Year Old,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Big Cinemas', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Om Sweets', ""Domino's Pizza"", 'Pizza Hut', 'Cafe Coffee Day', 'Pind Baluchi', 'Moti Mahal', ""McDonald's"", 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'Chiranjiv Bharati School', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","Address:  New Colony, Gurgaon 150 square yards 2.5 story made 6 bhk house in a gated locality just close to park, well maintained house in best location of new colony. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and sha... re our 25 years experience with you.
 Additional details :

Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.More >>","['6 Wardrobe', '20 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",E80566721
"4 Bedroom House in Sector 9, Gurgaon",6.0,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-9-gurgaon-3078-sq-ft-spid-Z79567577,"  sector 9, gurgaon",342.0,house,4.0,4.0,store room,"  sector 9, gurgaon",2.0,3+,north-east,1 to 5 Year Old,"['State bank ATM', 'Esic Hospital Gurugram', 'Shri Multispeciality Hospital', 'Ankur Clinic and Maternity Home', 'Shree Krishna Hospital Gurgaon', 'Taneja Hospital', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Dr. Madan Clinic', 'Dev Man Kathuria Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Shri Gobind Hospital', 'Kr Dental Hub', 'Lal Superspeciality Hospital', 'Satyam Hospital Gurgaon', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Geeta Nursing Home Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Bhanu Dental Care', 'Tirath Ram Hospitals Pvt Ltd', 'Aryan Hospital', 'Sethi Hospital Gurgaon', 'Bindal Clinic', 'My Care Clinic', 'Ravi Clinic and Health Care Centre', 'M.S Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Kamla Hospital Gurgaon', 'Rachna Dental Clinic', 'Kathuria Hospital', 'D.R. Rajnis Gupta Clinic', 'Parashar Hospital', 'Gurgaon Eye Centre', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Yadav Hospital Gurgoan', 'Parmar Dental Clinic & Lab', 'Vinayak Hospital Gurgaon', 'Nutan Dental Hospital', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","Address:  Sector 9, Gurgaon 1. Welcome to your dream home in sector 9, one of the most sought-After areas in gurgaon! This stunning house is built on a spacious 342 sq yards plot, making it perfect for both end-Users and savvy investors. The location is unbeatable, with excellent connectivity to the dwarka expressway and nh48,...  ensuring that youre never far from the action. Nestled in a secure gated block, this property offers peace of mind and a safe environment for you and your family. Plus, youll love the convenience of being close to parks and markets, making everyday living a breeze. Dont miss out on this fantastic opportunitycontact us for more queries and make this house your new home!More >>","['2 Wardrobe', '4 Geyser', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Centrally Air Conditioned', 'Maintenance Staff', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']",Z79567577
"7 Bedroom House in DLF Phase 2, Gurgaon",22.5,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-4500-sq-ft-spid-D79991425,"  dlf phase 2, gurgaon",500.0,house,7.0,7.0,"pooja room,study room,servant room,store room","  dlf phase 2, gurgaon",2.0,3+,north,1 to 5 Year Old,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Sikandarpur metro station', 'Sikanderpur metro station', 'Mg road metro station', 'MGF Metropolitan', 'Jain Bhawan', 'Arya Samaj Mandir', 'Shri Shiv Shakthi Mandir', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Kotak mahindra ATM', 'Citibank ATM', 'Surgi Center Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'RBS Dental Clinic', 'Lord Krishna Hospital', 'Durga Poly Clinic', 'Relief Physiotherapy Clinic', 'Guardian', '98.4', 'Religare Wellness', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Standard chartered bank', 'Lord krishna bank', 'Axis bank', 'Abn amro bank', 'Indusind bank', 'PVR Cinames', 'PVR Cinames', 'PVR Metropolitan', 'Mukesh Dhaba', 'Pan Bangkok', 'NutrioBox Gurugram', 'Mc Donalds', ""McDonald's"", 'American Montessori', 'Microsoft', 'CEVA Logistics India', 'Boston Consulting Group', 'KPMG', 'Taikisha Engineering PVT', 'Bain & Company']","Address:  DLF Phase 2, Gurgaon 500 sq yard kothi in dlf phase 2 ","['10 Fan', '1 Exhaust Fan', '21 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",D79991425
"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",3.5,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-594-sq-ft-spid-B80519491,"  block c, sushant lok phase 1, gurgaon",66.0,house,11.0,11.0,not available,"  block c, sushant lok phase 1, gurgaon",5.0,3+,north,0 to 1 Year Old,"['Huda city centre metro station', 'Sector 42-43 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Rbs ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Kotak mahindra bank ATM', 'Arihant Hospital', 'Gupta', 'Paras Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Pernod Ricard Charitable Dispensary', 'Guardian Pharmacy', 'Chikitsa', 'City Medical', 'Gardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Icici bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Naveidyam', 'Starbucks', 'Clock tower', 'Raj Restaurant', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'St. Angels Sr', 'St. Angels Jr', 'Dawnbit', 'Mantis Eye LLP', 'Two Horizon Center', 'PK Online', 'Ncr library']","Address:  Block C, Sushant Lok Phase 1, Gurgaon 66 sq yards
Newly built-Up
Park facing
11 studio apartments, fully furnished 
Monthly rental 2 lakhs ","['11 Fan', '1 Fridge', '1 Exhaust Fan', '11 Geyser', '11 Light', '11 AC', '11 TV', '1 Modular Kitchen', '11 Bed', '11 Wardrobe', '1 Sofa', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",B80519491
"4 Bedroom House in DLF Phase 2, Gurgaon",7.95,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1935-sq-ft-spid-C78720107,"  dlf phase 2, gurgaon",215.0,house,4.0,3.0,servant room,"  dlf phase 2, gurgaon",2.0,2,west,5 to 10 Year Old,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'MGF Metropolitan', 'Jain Bhawan', 'Arya Samaj Mandir', 'Shri Shiv Shakthi Mandir', 'Central bank ATM', 'Central bank atm teste 001112', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Kailash Nursing Home Gurgaon', 'RBS Dental Clinic', 'Cosmodentz Dental Clinic', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Guardian', '98.4', 'Religare Wellness', 'DLF Cyber City Phase II', 'Standard chartered bank', 'Hsbc bank', 'Kotak mahindra bank', 'Icici bank', 'Deutsche bank', 'Hdfc bank', 'Lord krishna bank', 'Axis bank', 'PVR Cinames', 'PVR Cinames', 'Mukesh Dhaba', ""McDonald's"", 'Mc Donalds', 'Food Court', 'Cantine', 'Pan Bangkok', 'NutrioBox Gurugram', 'The God Father', 'American Montessori', 'CEVA Logistics India', 'Boston Consulting Group', 'KPMG', 'Taikisha Engineering PVT', 'Microsoft', 'Bain & Company', 'Parishram Resources']","Address:  DLF Phase 2, Gurgaon Do you wish to buy an independent house in dlf phase 2, gurgaon. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. The floor plan additionally contains 4 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of...  215 sq.Yards. This 4 bhk house comes attached with 1 covered and 2 open parking for your vehicle(s). This is a ready to move house, which is 5-10 years old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 7.95 crore. Many of the modern amenities being offered, like maintenance staff and visitor parking, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property. The house comes well built with marble flooring options.
 Additional details :

The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.More >>","['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '8 Light', '1 Curtains', '1 Modular Kitchen', '2 TV', '1 Chimney', '4 AC', '2 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Private Garden / Terrace', 'Maintenance Staff', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",C78720107
"3 Bedroom House in New Colony, Gurgaon",4.0,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-colony-gurgaon-1890-sq-ft-r5-spid-I72112354,"  new colony, gurgaon",210.0,house,3.0,3.0,not available,"  new colony, gurgaon",2.0,2,south-west,10+ Year Old,"['Sheetla Mata Mandir', 'Chintapurni Mandir', 'Jeevan Jyoti Hospital Gurgaon', 'Children Hospital', 'Dr. Tomar Clinic', 'Nidhi Clinic', 'Sheetla Clinic', 'Dr. Babita Sharma', 'GH Gurgaon', 'Kishor Clinic', 'Dr. Agya Ram Sharma Clinic', 'Mamta Hospital Gurgaon', 'Lotus Hospital Gurgaon', 'Jackson Hospital', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Dr. Sindhu Clinic', 'Saraswati Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Bhatnagar Maternity and Nursing Home', 'M Goel Hospital', 'Sparsh Hospital Gurgaon', 'Lalit Dental Care', 'Dentecare - Multispeciality Dental Clinic', 'Lall Nursing and Maternity Home', 'Kharbanda Maternity and Nursing Home', 'Om Charitable Dental & Implant Centre', 'Dental Health Centre', 'Lall Eye Care Centre', 'Gurgaon Eye Centre', 'Apollo Cradle Hospital Gurgaon', 'Dr. Mittal Clinic', 'Jiya Clinic', 'D.R. Rajnis Gupta Clinic', 'Kalyani Hospital Gurgaon', 'Nova Care Clinic', 'Sarvodya Hospital', 'Verma E.N.T. Hospital', 'Indian Oil', 'Rang Parivartan', 'Icici bank', 'Hdfc bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'Cafe Coffee Day', 'Lieutenant Atul Kataria School', 'Dronacharya Government College']","Address:  New Colony, Gurgaon 210 square yards old house in gated locality, just close to park, in best location of new colony. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 25 years experience with you.
 
 ... 
 
 
 
 Additional details :

Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.More >>","['6 Wardrobe', '8 Fan', '1 Exhaust Fan', '100 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",I72112354
"4 Bedroom House in Sector 4, Gurgaon",7.25,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-5850-sq-ft-spid-S79842943,"  sector 4, gurgaon",650.0,house,4.0,4.0,study room,"  sector 4, gurgaon",1.0,3+,west,0 to 1 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Dr. Ashok Jain', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Shree Krishna Hospital Gurgaon', 'Taneja Hospital', 'Sneh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Sindhu Clinic', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Esic Hospital Gurugram', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Yashroop Medical Centre', 'Bhatnagar Maternity and Nursing Home', 'Dr. Madan Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', ""Dr. Anurag's Child Care Clinic"", 'Dr. Agya Ram Sharma Clinic', 'Bindal Clinic', 'Dr. Hitesh Dawar', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'GH Gurgaon', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Centre For Sight Gurgaon New Railway Road', 'Satyam Hospital Gurgaon', 'Kidney Clinic', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Apna Enclave']","Address:  Sector 4, Gurgaon 1. Introducing an exquisite 4 bhk independent house for sale in the highly desirable sector 4 of gurgaon, a location renowned for its exceptional connectivity and vibrant community. This property is strategically situated near the dwarka expressway and nh 48, providing seamless access to the indira ... gandhi international airport and the bustling city of delhi. As a corner property, it benefits from enhanced privacy and natural light, making it an ideal choice for families seeking both comfort and convenience. The proximity to local markets and main roads ensures that residents have easy access to essential amenities and services, enhancing the overall living experience.

2. This luxurious house has been meticulously designed with tasteful interiors that reflect modern elegance and functionality. Featuring four spacious bedrooms, each accompanied by its own well-Appointed washroom, this home offers ample space for relaxation and privacy. The heart of the home is a state-Of-The-Art modular kitchen, equipped with high-Quality fixtures and finishes, perfect for culinary enthusiasts. With its prime location, sophisticated design, and thoughtful amenities, this 4 bhk builder floor is not just a residence but a lifestyle choice. For more information or to schedule a viewing, please do not hesitate to contact us.More >>","['4 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",S79842943
"10 Bedroom House in Sector 57, Gurgaon",8.5,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-2367-sq-ft-spid-H80390825,"  sector 57, gurgaon",263.0,house,10.0,9.0,not available,"  sector 57, gurgaon",3.0,3+,north-east,1 to 5 Year Old,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Icici bank ATM', 'State bank ATM', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'pracksht hospital', 'Surgicare Hospital Gurgaon', 'Vatsalya Clinic', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Wembley estate club', 'Medisca', 'SPAZE BUSINESS PARK', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank', 'Hdfc bank and atm', 'Kotak mahindra bank', 'State bank of india', 'Indusind bank', 'Axis bank', '222', 'Pizza Hut', 'Madison and Pike', 'India', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Gurugram University', 'Kamla International', 'IILM', 'Amity Global School', 'Iilm University', 'Unitech Business Park']","Address:  Sector 57, Gurgaon The independent stilts plus three floors building available for sale on very reasonable price. Recently renovated and offers all the modern amenities. The usp of this property is it's strategic location, 
Golf course ext road, spr, schools, hospital, markets etc all are nearby. Who are searching for...  a good investment it's
Best for commercial and residential use. 
Contact immediately for a transparent deal..More >>","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",,H80390825
"3 Bedroom House in Nirvana Country, Gurgaon",10.1,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-unitech-nirvana-birch-court-nirvana-country-gurgaon-2160-sq-ft-spid-V80893337,"  unitech nirvana birch court, nirvana country, gurgaon",240.0,house,3.0,3.0,"servant room,store room","  unitech nirvana birch court, nirvana country, gurgaon",1.0,3+,north-west,10+ Year Old,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Dr. Naresh Pandita', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Dr. Anuj Sharma', 'Neelkanth Health Care', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Anand Hospital Gurgaon', 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Indusind bank', 'Hdfc bank and atm', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Pizza Hut', 'Kamla International', 'Gurugram University', 'Amity Global School', 'Delhi Public School Primary Section', 'Manav Rachna School', 'Unitech Business Park', 'Stryker Global Tech Center', 'McKinsey & Company Gurugram Knowledge Center', 'Carmesi Corporate', 'Manav Rachna Swimming Pool']","Address:  Nirvana Country, Gurgaon For sale simplex villas in nirvana country sec 50 gurgaon
240 sq yd carpet area 1650 sq ft 3 bhk 2 bathrooms plus store & servant room front 15 mtr road 
Call me for more details ","['4 Fan', '1 Exhaust Fan', '3 Geyser', '2 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']",V80893337
