society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
"  palam vihar, gurgaon",4.26,sector 1,,house,1773.0,6.0,6.0,not available,"  palam vihar, gurgaon",3.0,north,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","['4 Wardrobe', '7 Fan', '1 Exhaust Fan', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Natural Light']",3
  m3m woodshire,1.7,sector 107,8749.36,flat,1943.0,3.0,3.0,not available,"M3M Woodshire Sector 107, Gurgaon",7.0,east,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","['3 Wardrobe', '5 Fan', '3 Geyser', '25 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",
  central park flower valley aqua front towers,2.5,sector 33,13974.29,flat,1789.0,3.0,3.0,store room,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",5.0,north,1 to 5 Year Old,"['Rajeha Mall', 'National Highway 248A', 'N.B.G.S.M College', 'Scottish High International School', 'Park Hospital', 'Indira Gandhi International Airport', 'Pataudi Road station', 'The Westin Sohna Resort & Spa']","['3 Wardrobe', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",
"  sector 45, gurgaon",8.3,sector 45,,house,1859.0,12.0,12.0,"pooja room,study room","  sector 45, gurgaon",4.0,east,0 to 1 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Hdfc ATM', 'Icici bank ATM', 'Axis bank ATM', 'Dispencery', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Arihant Hospital', 'Gupta', 'Shivam Hospital Gurgaon', 'Sukhmani Hospital Pvt. Ltd', 'Dr. Kutbuddin Akbary', 'Paras Hospital Gurgaon', 'Centre For Sight Gurgaon Sector 29', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'PWO house', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Om Sweets', 'Balaji Vegetarian Paradise', 'St. Angels Jr', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Manav Rachna School', 'Amity Global School', 'Stones2milestones', 'CR Model Public School', 'Delhi Public School Primary Section', 'Gurugram University', 'Dawnbit', 'Mantis Eye LLP', 'Manav Rachna Swimming Pool', 'Ncr library']","['1 Water Purifier', '25 Fan', '1 Exhaust Fan', '14 Geyser', '1 Stove', '20 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '12 Wardrobe', '1 Washing Machine', '1 Microwave', 'No AC', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
"  nirvana country, gurgaon",10.4,sector 50,,house,240.0,4.0,4.0,"servant room,study room","  nirvana country, gurgaon",,north-east,1 to 5 Year Old,"['Raheja Mall', 'Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Skin Clinic', 'Best Urologist Atcomplete Family Clinic', 'Divine Look Clinic Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Wembley estate club', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'SPAZE BUSINESS PARK', 'Unitech', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Manav Rachna School', 'St. Angels Sr', 'Unitech Business Park', 'McKinsey & Company Gurugram Knowledge Center', 'Stryker Global Tech Center', 'Manav Rachna Swimming Pool']","['4 Bed', '10 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Microwave', '9 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Geyser', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Fitness Centre / GYM', 'Waste Disposal']",2
"  vatika signature villas, sector 82, gurgaon",6.7,sector 82,,house,360.0,4.0,4.0,"pooja room,study room,servant room,store room","  vatika signature villas, sector 82, gurgaon",2.0,west,1 to 5 Year Old,"['IFFCO Chowk Flyover', 'Vega Schools', 'IGIA']","['4 Geyser', '9 Light', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",3+
"  sector 46, gurgaon",3.7,sector 46,,house,100.0,3.0,3.0,"pooja room,study room,servant room,store room","  sector 46, gurgaon",1.0,north-west,0 to 1 Year Old,"['Raheja Mall', 'Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'McKinsey & Company', 'Dawnbit', 'Manav Rachna Swimming Pool']","['1 Water Purifier', '5 Fan', '1 Dining Table', '10 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",2
  bptp mansions park prime,3.9,sector 66,14109.99,flat,2764.0,4.0,4.0,"servant room,others","BPTP Mansions Park Prime Sector 66, Gurgaon",6.0,south,1 to 5 Year Old,"['Hub 66', 'Shiksha Bharti Public School', 'VIBGYOR High School', 'Gyan Bharti Public School', 'Diamond Public School', 'Mother land public school', 'Govind Hospital', 'Kamal Hospital', 'HDFC Bank', 'Axis Bank', 'Keshav Pharmacy', 'Apollo Pharmacy', 'Creative Tennis Academy', 'Shanti Tennis Academy', 'Lotus Sports Academy']","['4 Wardrobe', '1 Exhaust Fan', '1 Geyser', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff']",
  tata primanti,4.84,sector 72,18980.39,flat,2550.0,3.0,3.0,not available,"Tata Primanti Sector 72, Gurgaon",5.0,north-east,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'Omaxe City Centre', 'Badshahpur Sohna Rd Highway', 'Pallavan PreSchool, Sohna Road', 'RBSM Public school', 'Polaris Hospital', 'Indira Gandhi International Airport', 'Gurgaon Old Railway Road', 'Spaze Itech Park', 'Radisson Hotel Gurugram Sohna Road']","['1 Water Purifier', '8 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '20 Light', '1 Chimney', '1 Modular Kitchen', '1 Curtains', '3 Wardrobe', '3 Bed', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  jyoti park, gurgaon",0.85,sector 7,,house,900.0,3.0,2.0,not available,"  jyoti park, gurgaon",1.0,na,5 to 10 Year Old,"['State bank ATM', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Pearl Dental Clinic', 'Shiv Mahima Patient Care Bureau', 'Ankur Clinic and Maternity Home', 'Navjeevan Hospital and Maternity Centre', 'Satyam Hospital Gurgaon', 'Shri Gobind Hospital', 'Chiranjiv Hospital', 'Lal Superspeciality Hospital', 'Swastik Maternity and Medical Centre', 'Dr. Ashok Jain', 'Geeta Nursing Home Gurgaon', 'Mangalam Hospital and Heart Centre Gurgaon', 'My Care Clinic', 'Bindal Clinic', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Esic Hospital Gurugram', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Pasricha Hospital and Maternity Home', 'Nangia Hospital Ent and Maternity', 'Kr Dental Hub', 'Parashar Hospital', 'Rama Hospital & Nursing Home', 'Kathuria Hospital', 'Vinayak Hospital Gurgaon', 'Dr. Ajay S. Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Shree Krishna Hospital Gurgaon', 'Gurgaon Eye Centre', 'Bhatnagar Maternity and Nursing Home', 'Gupta Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Rachna Dental Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']",,,0
