,name,price,link
0,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
1,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
2,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
3,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
4,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
5,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
6,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
7,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
8,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
9,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
10,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
11,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
12,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
13,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
14,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
15,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
16,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
17,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
18,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
19,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
20,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
21,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
22,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
23,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
24,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
25,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
26,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
27,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
28,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
29,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
30,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
31,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
32,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
33,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
34,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
35,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
