sector,coordinates
1,"28.3663° N, 76.9456° E"
2,"28.5095° N, 77.0320° E"
3,"28.4909° N, 77.0176° E"
4,"28.4738° N, 77.0107° E"
5,"28.4794° N, 77.0176° E"
6,"28.4745° N, 77.0262° E"
7,"28.4644° N, 77.0143° E"
8,"28.3738° N, 76.8970° E"
9,"28.4603° N, 77.0000° E"
10,"28.4537° N, 77.0009° E"
11,"28.4531° N, 77.0202° E"
12,"28.4723° N, 77.0320° E"
13,"28.4757° N, 77.0392° E"
14,"28.4711° N, 77.0454° E"
15,"28.4621° N, 77.0464° E"
16,"28.4684° N, 77.0521° E"
17,"28.4791° N, 77.0608° E"
18,"28.4908° N, 77.0690° E"
19,"28.5040° N, 77.0748° E"
20,"28.5106° N, 77.0857° E"
21,"28.5134° N, 77.0723° E"
22,"28.5072° N, 77.0640° E"
23,"28.5121° N, 77.0478° E"
24,"28.4939° N, 77.1038° E"
25,"28.4844° N, 77.0860° E"
26,"28.4757° N, 77.1032° E"
27,"28.4658° N, 77.0917° E"
28,"28.4728° N, 77.0865° E"
29,"28.4669° N, 77.0663° E"
30,"28.4604° N, 77.0579° E"
31,"28.4528° N, 77.0498° E"
32,"28.4472° N, 77.0406° E"
33,"28.4420° N, 77.0207° E"
34,"28.4294° N, 77.0048° E"
35,"28.4155° N, 77.0022° E"
36,"28.4160° N, 76.9914° E"
37,"28.4375° N, 76.9999° E"
38,"28.4347° N, 77.0430° E"
39,"28.4434° N, 77.0515° E"
40,"28.4498° N, 77.0567° E"
41,"28.4557° N, 77.0632° E"
42,"28.4576° N, 77.1020° E"
43,"28.4629° N, 77.0772° E"
44,"28.4485° N, 77.0759° E"
45,"28.4466° N, 77.0660° E"
46,"28.4374° N, 77.0586° E"
47,"28.4276° N, 77.0492° E"
48,"28.4177° N, 77.0359° E"
49,"28.4121° N, 77.0480° E"
50,"28.4178° N, 77.0628° E"
51,"28.4320° N, 77.0686° E"
52,"28.4379° N, 77.0785° E"
53,"28.4433° N, 77.0948° E"
54,"28.4348° N, 77.1089° E"
55,"28.4281° N, 77.1100° E"
56,"28.4245° N, 77.0991° E"
57,"28.4232° N, 77.0752° E"
58,"28.4200° N, 77.1105° E"
59,"28.4051° N, 77.1097° E"
60,"28.4003° N, 77.0975° E"
61,"28.4050° N, 77.0963° E"
62,"28.4139° N, 77.0886° E"
63,"28.3971° N, 77.0867° E"
64,"28.3903° N, 77.0752° E"
65,"28.4030° N, 77.0690° E"
66,"28.3925° N, 77.0541° E"
67,"28.3859° N, 77.0608° E"
68,"28.3853° N, 77.0484° E"
69,"28.3966° N, 77.0341° E"
70,"28.3968° N, 77.0233° E"
71,"28.4104° N, 77.0281° E"
72,"28.4225° N, 77.0211° E"
73,"28.4072° N, 77.0118° E"
74,"28.4158° N, 77.0118° E"
75,"28.3925° N, 77.0089° E"
76,"28.3935° N, 76.9888° E"
77,"28.3801° N, 76.9845° E"
78,"28.3733° N, 76.9729° E"
79,"28.3624° N, 76.9787° E"
80,"28.3659° N, 76.9557° E"
81,"28.3867° N, 76.9485° E"
82,"28.3935° N, 76.9600° E"
83,"28.3986° N, 76.9647° E"
84,"28.3979° N, 76.9736° E"
85,"28.4042° N, 76.9513° E"
86,"28.3986° N, 76.9384° E"
87,"28.3936° N, 76.9312° E"
88,"28.4220° N, 76.9571° E"
89,"28.4253° N, 76.9439° E"
90,"28.4085° N, 76.9369° E"
91,"28.4014° N, 76.9225° E"
92,"28.4079° N, 76.9153° E"
93,"28.4153° N, 76.9326° E"
94,"28.4223° N, 76.9312° E"
95,"28.4172° N, 76.9081° E"
96,"28.3966° N, 76.8735° E"
97,"28.4086° N, 76.8793° E"
98,"28.4192° N, 76.8995° E"
99,"28.4640° N, 76.9614° E"
100,"28.4613° N, 76.9708° E"
101,"28.4672° N, 76.9801° E"
102,"28.4750° N, 76.9715° E"
103,"28.4949° N, 76.9845° E"
104,"28.4788° N, 76.9960° E"
105,"28.4952° N, 77.0114° E"
106,"28.5007° N, 77.0003° E"
107,"28.5052° N, 76.9729° E"
108,"28.5134° N, 76.9830° E"
109,"28.5073° N, 77.0089° E"
110,"28.5145° N, 77.0197° E"
111,"28.5238° N, 77.0320° E"
112,"28.5189° N, 77.0183° E"
113,"28.5287° N, 77.0233° E"
114,"28.5334° N, 77.0118° E"
115,"28.5385° N, 77.0061° E"
